Date,weekly runoff
2022-02-20,15.761937
2022-02-27,15.761937
2022-03-06,15.761937
2022-03-13,15.761937
2022-03-20,15.761937
2022-03-27,15.761937
2022-04-03,15.761937
2022-04-10,15.761937
2022-04-17,15.761937
2022-04-24,15.761937
2022-05-01,15.761937
2022-05-08,15.761937
2022-05-15,15.761937
2022-05-22,15.761937
2022-05-29,15.761937
2022-06-05,15.761937
2022-06-12,15.761937
2022-06-19,15.761937
2022-06-26,15.761937
2022-07-03,15.761937
2022-07-10,15.761937
2022-07-17,15.761937
2022-07-24,15.761937
2022-07-31,15.761937
2022-08-07,15.761937
2022-08-14,15.761937
2022-08-21,15.761937
2022-08-28,15.761937
2022-09-04,15.761937
2022-09-11,15.761937
2022-09-18,15.761937
2022-09-25,15.761937
2022-10-02,15.761937
2022-10-09,15.761937
2022-10-16,15.761937
2022-10-23,15.761937
2022-10-30,15.761937
2022-11-06,15.761937
2022-11-13,15.761937
2022-11-20,15.761937
2022-11-27,15.761937
2022-12-04,15.761937
2022-12-11,15.761937
2022-12-18,15.761937
2022-12-25,15.761937
2023-01-01,15.761937
2023-01-08,15.761937
2023-01-15,15.761937
2023-01-22,15.761937
2023-01-29,15.761937
2023-02-05,15.761937
2023-02-12,15.761937
2023-02-19,15.761937
2023-02-26,15.761937
2023-03-05,15.761937
2023-03-12,15.761937
2023-03-19,15.761937
2023-03-26,15.761937
2023-04-02,15.761937
2023-04-09,15.761937
2023-04-16,15.761937
2023-04-23,15.761937
2023-04-30,15.761937
2023-05-07,15.761937
2023-05-14,15.761937
2023-05-21,15.761937
2023-05-28,15.761937
2023-06-04,15.761937
2023-06-11,15.761937
2023-06-18,15.761937
2023-06-25,15.761937
2023-07-02,15.761937
2023-07-09,15.761937
2023-07-16,15.761937
2023-07-23,15.761937
2023-07-30,15.761937
2023-08-06,15.761937
2023-08-13,15.761937
2023-08-20,15.761937
2023-08-27,15.761937
2023-09-03,15.761937
2023-09-10,15.761937
2023-09-17,15.761937
2023-09-24,15.761937
2023-10-01,15.761937
